HAT-P-13	Ursa Major	08h 39m 32s	+47° 21′ 07″	10.62	698	G4	c	15.2		428.5	1.186	0.691	2009
HD 217580	Aquarius	23h 01m 52s	–03° 50′ 55″	7.46	58.7	K4V	b	60		454.66	1	0.52	1994
HD 16760	Perseus	02h 42m 21s	+38° 37′ 07″	8.74	163	G5V	b	14.3		465.1	1.13	0.067	2009
HD 13189	Triangulum	02h 09m 40s	+32° 18′ 59″	7.57	603.4	K2II	b	14		471.6	1.85	0.28	2005
HD 18445	Fornax	02h 57m 13s	–24° 58′ 30″	7.78	83.92	K2V	b	39		554.67	0.9	0.54	1991
HD 8673	Andromeda	01h 26m 09s	+34° 34′ 47″	6.31	124.75	F7V	b	14		639	1.58		2005
NGC 4349-127	Crux	12h 24m 08s	−61° 52′ 18″	7.4	7097	MIII?	b	19.8		677.8	2.38	0.19	2007
Gliese 569	Boötes	14h 54m 29s	+16° 06′ 04″	10.2	31.5	M3V	Ba + Bb	116[7]		870[7]	0.87[7]	0.317[7]	1988[8]
HD 29587	Perseus	04h 41m 34s	+42° 07′ 25″	7.29	146.77	G2V	b	40		1471.7	2.5	0.37	1996
ChaHα8	Chamaeleon	11h 07m 48s	−77° 40′ 08″	20.1	522	M6.5	b	18		1590.9	1	0.49	2007
COROT-20	Monoceros	06h 30m 55.3s	+0° 13′ 37″	14.66	4000	G2V	c	17		1675	2.9	0.6	2010
HD 168443	Serpens	18h 20m 04s	–09° 35′ 34″	6.92	123.5	G5	c	34		1739.5	2.87	0.228	2001
HD 38529 A	Orion	05h 46m 34s	+01° 10′ 05″	5.94	138	G4IV	c	37		2174.3	3.68	0.36	2002
Epsilon Indi	Indus	22h 03m 22s	–56° 47′ 09″	4.69	11.8	K5V	Bb	28		5478.75	2.65		2003
HW Virginis	Virgo	12h 44m 20s	−08° 40′ 17″	10.9	590	sdB+M	b	19.23		5786	5.30	0.46	2008
DT Virginis	Virgo	13h 0m 41.74s	12°  21 ′  14.7″	9.72	37.55	P	c	12.5	1.1	33081			2010
HD 4113	Sculptor	00h 43m 12.60s	−37° 58′ 57.48″	7.88	136	G5V	C	60		73000	20		2006
Gliese 229	Lepus	06h 10m 35s	–21° 51′ 42″	8.14	19	M1V	B	40		73050	40		1995
TYC 9486-927-1	Octans	21h 26m 50.4s	－81° 40′ 29.3″	11.82	111	L3γ	2MASS J2126-8140	13.3 (± 1.7)  MJ		328725000	6900		2009/2016
Epsilon Indi	Indus	22h 03m 22s	–56° 47′ 09″	4.69	11.8	K5V	Ba	47		1532899.8			2003
HD 131664	Apus	15h 00m 06s	−73° 32′ 07″	8.13	180.8	G3V	b	18.15		1951	3.17	0.638	2008
HD 136118	Serpens	15h 18m 55s	−01° 35′ 32″	6.94	171	F9V	b	42		1209	1.45	0.352	2002
HD 140913	Corona Borealis	15h 45m 07s	+28° 28′ 12″	8.07	156.42	G0V	b	46		147.94	0.54	0.61	1996
GQ Lupi	Lupus	15h 49m 12s	–35° 39′ 03″	11.4	400	K7eV	b	1-42	1.8		103		2005
HD 162020	Scorpius	17h 50m 38s	–40° 19′ 06″	9.18	101.95	K2V	b	15.0		8.428198	0.0751	0.277	2000
Nu Ophiuchi	Ophiuchus	17h 59m 01s	−09° 46′ 25″	3.33	152.8	K0III	b	21.9		536		0.13	2004
HD 164427	Telescopium	18h 04m 43s	−59° 12′ 35″	6.89	127.52	G4IV	b	46		108.55	0.46	0.55	2000
SCR 1845-6357	Pavo	18h 45m 07s	−63° 57′ 43″	17.4	12.57	M8.5V	B	40-50			4.1		2006
COROT-3	Aquila	19h 28m 13s	+00° 07′ 19″	13.3	2220	G0V	b	21.66	1.01	4.2568	0.057	0	2008
15 Sagittae	Sagitta	20h 04m 06s	+17° 04′ 13″	5.80	57.7	G1V	B	65			14		2002
Zeta Delphini	Delphinus	20h 35m 19s	+14° 40′ 27″	4.65	220	A3V	B	55			910		2014
HD 202206	Capricornus	21h 14m 58s	–20° 47′ 20″	8.08	151.14	G6V	b	17.4		255.87	0.83	0.435	2000
